record,original_reference,title,doi,publication_class,source_access,readouts_inspected,interpretation_boundary,anchor,reviewer
LA-F02,1,"Oxeiptosis, a ROS-induced caspase-independent apoptosis-like cell-death pathway.",10.1038/s41590-017-0013-y,study,full_text_obtained,"Molecular perturbations, AIFM1 phosphorylation, localization and death phenotypes",Full-text mechanistic study; no validation of this clinical OX4 construct,Holze main figures and full text,Single AI source appraisal; human assessment pending
LA-F01,4,Oxeiptosis: a novel pathway of melanocytes death in response to oxidative stress in vitiligo.,10.1038/s41420-022-00863-3,study,full_text_obtained,KEAP1/PGAM5 protein expression; AIFM1 Ser116 phosphorylation; localization and viability,"The prior absence-of-abundance coding is contradicted by Fig 3C. These are separate readouts, not automatic quantitative calibration.",Fig 2; Fig 3C; Fig 4; Fig 5; Fig 6,Single AI source appraisal; human assessment pending
LA-F03,5,Methyl-cantharidimide suppresses cyclin-dependent kinase 1 (CDK1) and induces oxeiptosis in liver cancer.,10.1186/s13046-026-03669-8,study,full_text_obtained,KEAP1 expression; AIFM1 phosphorylation; total AIFM1/PGAM5; corresponding qPCR,Authors report altered phosphorylation without notable total AIFM1/PGAM5 or corresponding transcript changes in this setting; not a field-wide uniqueness claim.,Results Sec25; Fig 4D-F,Single AI source appraisal; human assessment pending
LA-F04,6,Identification and validation of oxeiptosis-associated lncRNAs and prognosis-related signature genes to predict the immune status in uterine corpus endometrial carcinoma.,10.18632/aging.204726,study,full_text_obtained,Bulk transcript data and derived lncRNA signature,Model outcome uncertainty must be inspected per estimate; generic dispersion keywords do not determine whether Cox intervals exist.,Full text and supplements,Single AI source appraisal; human assessment pending
LA-F05,7,Oxeiptosis - potential in cancer treatment?,10.1017/erm.2026.10045,review,full_text_obtained,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,Single AI source appraisal; human assessment pending
LA-F06,8,Mini-review: research and progress of oxeiptosis in diseases.,10.3389/fcell.2024.1428250,review,full_text_obtained,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,Single AI source appraisal; human assessment pending
LA-F07,9,Identification of oxeiptosis-associated lncRNAs and prognosis-related signature to predict the immune status in gastric cancer.,10.1097/MD.0000000000037189,study,full_text_obtained,Bulk transcript data and derived lncRNA signature,No direct functional calibration of OX4 established; does not invalidate the published lncRNA model.,Full text and supplements,Single AI source appraisal; human assessment pending
LA-F08,10,Targeting oxeiptosis-mediated tumor suppression: a novel approach to treat colorectal cancers by sanguinarine.,10.1038/s41420-023-01376-3,study,full_text_obtained,"Protein and phosphorylation readouts, genetic perturbation and death phenotypes in CRC models",Fig 5-7 contain protein measurements; prior abundance-absent coding cannot be retained. Quantitative transcript-score calibration not evaluated here.,"Fig 5A-C; Fig 6A,G,H; Fig 7C",Single AI source appraisal; human assessment pending
LA-F09,11,Phenethyl isothiocyanate and dasatinib combination synergistically reduces hepatocellular carcinoma growth via cell cycle arrest and oxeiptosis.,10.3389/fphar.2023.1264032,study,full_text_obtained,Protein/transcript and treatment-associated phenotypes as described in full text,Combination treatment and cell-cycle effects require assay-specific interpretation; no universal programme-specificity verdict assigned.,Full text and figure legends,Single AI source appraisal; human assessment pending
LA-N10,12,"Xu L, Hu J, Yan X, Zhao H, Geng M, Zhang J, et al. Overcoming therapeutic limitations in glioblastoma treatment: a nanocomposite inducing ferroptosis and oxeiptosis via photodynamic therapy. *Chemical Engineering Journal* 2024;500:157405. doi:10.1016/j.cej.2024.157405. PubMed: no PMID indexed.",10.1016/j.cej.2024.157405,primary_readout_no_text,not_retrieved,Unknown,Misassigned abstracts quarantined; publication identity does not supply its results,Metadata only,Single AI source appraisal; human assessment pending
LA-N11,13,Oxeiptosis in Parkinson's disease: Unraveling the KEAP1/PGAM5/AIFM1 Axis and its role in pathophysiology and therapeutics.,10.1016/j.cellsig.2025.112288,review,abstract_only,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,Single AI source appraisal; human assessment pending
LA-N12,14,"Alloimperatorin activates apoptosis, ferroptosis, and oxeiptosis to inhibit the growth and invasion of breast cancer cells in vitro.",10.1139/bcb-2021-0399,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,Single AI source appraisal; human assessment pending
LA-N13,15,Magnolol facilitates mitochondrial-peroxisome dysfunction and induces oxeiptosis in lung cancer cells following transfer via tunneling nanotubes.,10.1016/j.biopha.2025.118126,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,Single AI source appraisal; human assessment pending
LA-N14,16,"Zhu Y, Zhang L, Zeng D, Zhou P, Hu J. Oxeiptosis gene expression profiling identified TCN1 as a prognostic factor for breast cancer. *Oncologie* 2024;27(1):95–109. doi:10.1515/oncologie-2024-0397. PubMed: no PMID indexed.",10.1515/oncologie-2024-0397,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,Single AI source appraisal; human assessment pending
LA-N15,17,Multi-omics profiling of oxeiptosis-associated biomarkers in cancer.,10.1016/j.cca.2026.121194,review,abstract_only,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,Single AI source appraisal; human assessment pending
LA-N16,18,"Mechanisms of chondrocyte regulated cell death in osteoarthritis: Focus on ROS-triggered ferroptosis, parthanatos, and oxeiptosis.",10.1016/j.bbrc.2024.149733,review,abstract_only,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,Single AI source appraisal; human assessment pending
LA-N17,19,Oxeiptosis-a cell death pathway to mitigate damage caused by radicals.,10.1038/s41418-018-0134-3,commentary,full_text_obtained,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,Single AI source appraisal; human assessment pending
LA-N18,20,Mitochondria Targeted Nanoparticles Potentiate Tumor Chemo-Phototherapy by Toxic Oxidative Stress Mediated Oxeiptosis.,10.1002/mabi.202300151,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,Single AI source appraisal; human assessment pending
LA-N19,21,"Auriculasin enhances ROS generation to regulate colorectal cancer cell apoptosis, ferroptosis, oxeiptosis, invasion and colony formation.",10.1016/j.bbrc.2021.11.101,study,abstract_only,Not adjudicated from abstract alone,Access limits are not negative biological findings,Retained abstract,Single AI source appraisal; human assessment pending
LA-N20,22,"Xu L, Hu S. Overcoming therapeutic limitations in glioblastoma treatment: a nanocomposite inducing ferroptosis and oxeiptosis via photodynamic therapy. *Photodiagnosis and Photodynamic Therapy* 2025;56(Suppl):104830. doi:10.1016/j.pdpdt.2025.104830. PubMed: no PMID indexed.",10.1016/j.pdpdt.2025.104830,primary_readout_no_text,not_retrieved,Unknown,Misassigned abstracts quarantined; publication identity does not supply its results,Metadata only,Single AI source appraisal; human assessment pending
