number,key,doi,pmid,title,identity,notice_metadata,support_scope,status_date
1,Holze,10.1038/s41590-017-0013-y,29255269,"Oxeiptosis, a ROS-induced caspase-independent apoptosis-like cell-death pathway.",live exact DOI/PMID verified,"{""commentCorrection"": [{""id"": ""29348507"", ""source"": ""MED"", ""reference"": ""Nat Immunol. 2018 Feb;19(2):103-105. doi: 10.1038/s41590-017-0034-6."", ""type"": ""Comment in"", ""orderIn"": 1}]}",Relevant claim bounded to inspected source,2026-09-14
2,OTUD1,10.1038/s41419-022-05145-5,35941131,OTUD1 deubiquitinase regulates NF-κB- and KEAP1-mediated inflammatory responses and reactive oxygen species-associated cell death pathways.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
3,SNG,10.1038/s41420-023-01376-3,36914635,Targeting oxeiptosis-mediated tumor suppression: a novel approach to treat colorectal cancers by sanguinarine.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
4,UCEC,10.18632/aging.204726,37211398,Identification and validation of oxeiptosis-associated lncRNAs and prognosis-related signature genes to predict the immune status in uterine corpus endometrial carcinoma.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
5,GC,10.1097/MD.0000000000037189,38363905,Identification of oxeiptosis-associated lncRNAs and prognosis-related signature to predict the immune status in gastric cancer.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
6,NeoSAC,10.1038/s41392-025-02137-7,39915443,Neoadjuvant apatinib addition to sintilimab and carboplatin-taxane based chemotherapy in patients with early triple-negative breast cancer: the phase 2 NeoSAC trial.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
7,Du,10.1177/00368504261432995,41854308,Machine learning-driven transcriptomic and single-cell profiling of programed cell death patterns in colon cancer.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
8,Ma,10.3389/fonc.2024.1483987,39610918,Identification of key programmed cell death genes for predicting prognosis and treatment sensitivity in colorectal cancer.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
9,Venet,10.1371/journal.pcbi.1002240,22028643,Most random gene expression signatures are significantly associated with breast cancer outcome.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
10,Marisa,10.1371/journal.pmed.1001453,23700391,"Gene expression classification of colon cancer into molecular subtypes: characterization, validation, and prognostic value.",live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
11,Smith,10.1053/j.gastro.2009.11.005,19914252,Experimentally derived metastasis gene expression profile predicts recurrence and death in patients with colon cancer.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
12,TCGACDR,10.1016/j.cell.2018.02.052,29625055,An Integrated TCGA Pan-Cancer Clinical Data Resource to Drive High-Quality Survival Outcome Analytics.,live exact DOI/PMID verified,{},"Primary clinical source only, not endpoint used here",2026-09-14
13,Singh,10.1158/0008-5472.CAN-08-1401,18829555,RNAi-mediated silencing of nuclear factor erythroid-2-related factor 2 gene expression in non-small cell lung cancer inhibits tumor growth and increases efficacy of chemotherapy.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
14,MitoCarta,10.1093/nar/gkaa1011,33174596,MitoCarta3.0: an updated mitochondrial proteome now with sub-organelle localization and pathway annotations.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
15,Zou,10.1016/j.ijsu.2022.106936,36341760,Leveraging diverse cell-death patterns to predict the prognosis and drug sensitivity of triple-negative breast cancer patients after surgery.,live exact DOI/PMID verified,"{""commentCorrection"": [{""id"": ""37598387"", ""source"": ""MED"", ""reference"": ""Int J Surg. 2023 Nov 01;109(11):3738-3739. doi: 10.1097/JS9.0000000000000665."", ""type"": ""Comment in"", ""orderIn"": 1}]}",Attribution only; upstream full text not re-appraised,2026-09-14
16,Kang,10.1038/s41420-022-00863-3,35177586,Oxeiptosis: a novel pathway of melanocytes death in response to oxidative stress in vitiligo.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
17,MCA,10.1186/s13046-026-03669-8,41772680,Methyl-cantharidimide suppresses cyclin-dependent kinase 1 (CDK1) and induces oxeiptosis in liver cancer.,live exact DOI/PMID verified,{},Relevant claim bounded to inspected source,2026-09-14
