record,title,doi,publication_class,source_access,readouts_inspected,interpretation_boundary,anchor,reviewer
LA-F02,"Oxeiptosis, a ROS-induced caspase-independent apoptosis-like cell-death pathway.",10.1038/s41590-017-0013-y,study,full_text_obtained,"Molecular perturbations, AIFM1 phosphorylation, localization and death phenotypes",Full-text mechanistic study; no validation of this clinical OX4 construct,Holze main figures and full text,AI-assisted source appraisal; no completed independent human assessment
LA-F01,Oxeiptosis: a novel pathway of melanocytes death in response to oxidative stress in vitiligo.,10.1038/s41420-022-00863-3,study,full_text_obtained,KEAP1/PGAM5 protein expression; AIFM1 Ser116 phosphorylation; localization and viability,Fig 3C includes abundance and phosphorylation measurements; no quantitative calibration of OX4 in the analysed CRC cohorts.,Fig 2; Fig 3C; Fig 4; Fig 5; Fig 6,AI-assisted source appraisal; no completed independent human assessment
LA-F03,Methyl-cantharidimide suppresses cyclin-dependent kinase 1 (CDK1) and induces oxeiptosis in liver cancer.,10.1186/s13046-026-03669-8,study,full_text_obtained,KEAP1 expression; AIFM1 phosphorylation; total AIFM1/PGAM5; corresponding qPCR,Results and Fig 4D-F show phosphorylation changes with little change in total AIFM1/PGAM5; the discussion describes reduced PGAM5 protein. This within-source discrepancy remains unresolved.,Results Sec25; Fig 4D-F,AI-assisted source appraisal; no completed independent human assessment
LA-F04,Identification and validation of oxeiptosis-associated lncRNAs and prognosis-related signature genes to predict the immune status in uterine corpus endometrial carcinoma.,10.18632/aging.204726,study,full_text_obtained,Bulk transcript data and derived lncRNA signature,Seed genes were used to derive an lncRNA model; its survival estimates do not validate equal-weight OX4.,Full text and supplements,AI-assisted source appraisal; no completed independent human assessment
LA-F05,Oxeiptosis - potential in cancer treatment?,10.1017/erm.2026.10045,review,full_text_obtained,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,AI-assisted source appraisal; no completed independent human assessment
LA-F06,Mini-review: research and progress of oxeiptosis in diseases.,10.3389/fcell.2024.1428250,review,full_text_obtained,Not applicable: review/commentary,No new primary measurement implied,Publication text or abstract,AI-assisted source appraisal; no completed independent human assessment
LA-F07,Identification of oxeiptosis-associated lncRNAs and prognosis-related signature to predict the immune status in gastric cancer.,10.1097/MD.0000000000037189,study,full_text_obtained,Bulk transcript data and derived lncRNA signature,No direct functional calibration of OX4 established; does not invalidate the published lncRNA model.,Full text and supplements,AI-assisted source appraisal; no completed independent human assessment
LA-F08,Targeting oxeiptosis-mediated tumor suppression: a novel approach to treat colorectal cancers by sanguinarine.,10.1038/s41420-023-01376-3,study,full_text_obtained,"Protein and phosphorylation readouts, genetic perturbation and death phenotypes in CRC models",Figs 5-7 include protein measurements and functional perturbations; quantitative OX4 transcript-score calibration was not established.,"Fig 5A-C; Fig 6A,G,H; Fig 7C",AI-assisted source appraisal; no completed independent human assessment
LA-F09,Phenethyl isothiocyanate and dasatinib combination synergistically reduces hepatocellular carcinoma growth via cell cycle arrest and oxeiptosis.,10.3389/fphar.2023.1264032,study,full_text_obtained,Protein/transcript and treatment-associated phenotypes as described in full text,Combination treatment and cell-cycle effects require assay-specific interpretation; no universal programme-specificity verdict assigned.,Full text and figure legends,AI-assisted source appraisal; no completed independent human assessment
LA-N10,"Xu L, Hu J, Yan X, Zhao H, Geng M, Zhang J, et al. Overcoming therapeutic limitations in glioblastoma treatment: a nanocomposite inducing ferroptosis and oxeiptosis via photodynamic therapy. *Chemical Engineering Journal* 2024;500:157405. doi:10.1016/j.cej.2024.157405. PubMed: no PMID indexed.",10.1016/j.cej.2024.157405,primary_readout_no_text,not_retrieved,Unknown,Publication identity verified; no usable source material for measurement-content assessment.,Metadata only,AI-assisted source appraisal; no completed independent human assessment
